word,phonetic,meaning,part_of_speech,level
folding,/ˈfoʊldɪŋ/,折叠的,adj.,B2
forgive,/fərˈɡɪv/,原谅,v.,B2
former,/ˈfɔːrmər/,以前的；前者,adj.,B2
fortune,/ˈfɔːrtʃən/,财富；运气,n.,B2
forward,/ˈfɔːrwərd/,向前；转发；前进的,adj.,B2
found,/faʊnd/,建立；创办,v.,B2
free,/friː/,免费的；自由的；释放,v.,B2
freedom,/ˈfriːdəm/,自由,n.,B2
frequency,/ˈfriːkwənsi/,频率；频繁,n.,B2
fully,/ˈfʊli/,完全地；充分地,adv.,B2
fund,/fʌnd/,资金；资助,"n., v.",B2
fundamental,/ˌfʌndəˈmentəl/,基本的；根本的,adj.,B2
funding,/ˈfʌndɪŋ/,资金；经费,n.,B2
furthermore,/ˌfɜːrðərˈmɔːr/,此外；而且,adv.,B2
gain,/ɡeɪn/,获得；增加；收益,"v., n.",B2
gang,/ɡæŋ/,一帮；一伙,n.,B2
generate,/ˈdʒenəreɪt/,产生；生成,v.,B2
genre,/ˈʒɑːnrə/,类型；流派,n.,B2
goods,/ɡʊdz/,商品；货物,n.,B2
govern,/ˈɡʌvərn/,统治；管理,v.,B2
governor,/ˈɡʌvərnər/,州长；总督；管理者,n.,B2
grab,/ɡræb/,抓住；夺取,v.,B2
gradually,/ˈɡrædʒuəli/,逐渐地,adv.,B2
grand,/ɡrænd/,宏大的；盛大的,adj.,B2
grant,/ɡrænt/,授予；拨款,"v., n.",B2
guarantee,/ˌɡærənˈtiː/,保证；担保,"v., n.",B2
handle,/ˈhændəl/,处理；把手,"v., n.",B2
harm,/hɑːrm/,伤害；损害,"n., v.",B2
harmful,/ˈhɑːrmfəl/,有害的,adj.,B2
hearing,/ˈhɪrɪŋ/,听力；听证会,n.,B2
heaven,/ˈhevən/,天堂,n.,B2
heel,/hiːl/,脚后跟；鞋跟,n.,B2
hell,/hel/,地狱,n.,B2
hesitate,/ˈhezəteɪt/,犹豫,v.,B2
high,/haɪ/,高的；高度；高水平,n.,B2
hold,/hoʊld/,持有；举行；保持,n.,B2
hollow,/ˈhɑːloʊ/,空心的；凹陷的,adj.,B2
holy,/ˈhoʊli/,神圣的,adj.,B2
honor,/ˈɑːnər/,荣誉；尊敬,"n., v.",B2
house,/haʊs/,房子；住宅,v.,B2
household,/ˈhaʊshoʊld/,家庭；家用的,n.,B2
housing,/ˈhaʊzɪŋ/,住房；住宅,n.,B2
humor,/ˈhjuːmər/,幽默,n.,B2
humorous,/ˈhjuːmərəs/,幽默的,adj.,B2
hunting,/ˈhʌntɪŋ/,狩猎；寻找,n.,B2
hurt,/hɜːrt/,受伤；伤害,n.,B2
ideal,/aɪˈdiːəl/,理想的；理想,n.,B2
illustrate,/ˈɪləstreɪt/,说明；阐明；给……加插图,v.,B2
illustration,/ˌɪləˈstreɪʃən/,说明；插图,n.,B2
imagination,/ɪˌmædʒəˈneɪʃən/,想象力,n.,B2
impatient,/ɪmˈpeɪʃənt/,不耐烦的；急躁的,adj.,B2
imply,/ɪmˈplaɪ/,暗示；意味着,v.,B2
impose,/ɪmˈpoʊz/,强加；征收,v.,B2
impress,/ɪmˈpres/,给……留下深刻印象,v.,B2
impressed,/ɪmˈprest/,印象深刻的,adj.,B2
inch,/ɪntʃ/,英寸,n.,B2
incident,/ˈɪnsɪdənt/,事件；事故,n.,B2
income,/ˈɪnkʌm/,收入,n.,B2
increasingly,/ɪnˈkriːsɪŋli/,越来越多地,adv.,B2
industrial,/ɪnˈdʌstriəl/,工业的,adj.,B2
infection,/ɪnˈfekʃən/,感染,n.,B2
inform,/ɪnˈfɔːrm/,通知；告知,v.,B2
initial,/ɪˈnɪʃəl/,最初的；首字母,adj.,B2
initially,/ɪˈnɪʃəli/,最初；开始时,adv.,B2
initiative,/ɪˈnɪʃətɪv/,主动性；倡议,n.,B2
inner,/ˈɪnər/,内部的；内心的,adj.,B2
inquiry,/ɪnˈkwaɪəri/,询问；调查,n.,B2
insight,/ˈɪnsaɪt/,洞察力；深入了解,n.,B2
insist,/ɪnˈsɪst/,坚持；坚称,v.,B2
inspire,/ɪnˈspaɪər/,激励；启发,v.,B2
install,/ɪnˈstɔːl/,安装,v.,B2
instance,/ˈɪnstəns/,例子；实例,n.,B2
institute,/ˈɪnstətuːt/,学院；机构；建立,n.,B2
institution,/ˌɪnstəˈtuːʃən/,机构；制度,n.,B2
insurance,/ɪnˈʃʊrəns/,保险,n.,B2
intended,/ɪnˈtendɪd/,预期的；打算的,adj.,B2
intense,/ɪnˈtens/,强烈的；激烈的,adj.,B2
internal,/ɪnˈtɜːrnəl/,内部的,adj.,B2
interpret,/ɪnˈtɜːrprət/,解释；口译,v.,B2
interrupt,/ˌɪntəˈrʌpt/,打断；中断,v.,B2
investigation,/ɪnˌvestəˈɡeɪʃən/,调查；研究,n.,B2
investment,/ɪnˈvestmənt/,投资,n.,B2
joy,/dʒɔɪ/,喜悦；快乐,n.,B2
judgment,/ˈdʒʌdʒmənt/,判断；判决,n.,B2
junior,/ˈdʒuːnjər/,年少的；初级的,adj.,B2
justice,/ˈdʒʌstɪs/,正义；司法,n.,B2
justify,/ˈdʒʌstəfaɪ/,证明……合理；为……辩护,v.,B2
labor,/ˈleɪbər/,劳动；劳工,n.,B2
landscape,/ˈlændskeɪp/,风景；景观,n.,B2
largely,/ˈlɑːrdʒli/,主要地；大部分,adv.,B2
launch,/lɔːntʃ/,发射；推出,"v., n.",B2
leadership,/ˈliːdərʃɪp/,领导；领导能力,n.,B2
league,/liːɡ/,联盟；联赛,n.,B2
lean,/liːn/,倾斜；倚靠；瘦的,v.,B2
leave,/liːv/,离开；留下；请假,n.,B2
license,/ˈlaɪsəns/,许可证；执照,n.,B2
limited,/ˈlɪmɪtɪd/,有限的,adj.,B2
line,/laɪn/,线；行；线路,v.,B2
lively,/ˈlaɪvli/,活泼的；生动的,adj.,B2
load,/loʊd/,负载；装载；大量,"n., v.",B2
loan,/loʊn/,贷款,n.,B2
logical,/ˈlɑːdʒɪkəl/,合乎逻辑的,adj.,B2
long-term,/ˌlɔːŋ ˈtɜːrm/,长期的,"adj., adv.",B2
loose,/luːs/,松的；宽松的,adj.,B2
lord,/lɔːrd/,领主；上帝,n.,B2
low,/loʊ/,低的；低水平,n.,B2
lower,/ˈloʊər/,降低；较低的,v.,B2
lung,/lʌŋ/,肺,n.,B2
maintain,/meɪnˈteɪn/,维持；保持；维修,v.,B2
major,/ˈmeɪdʒər/,主要的；专业；主修,n.,B2
majority,/məˈdʒɔːrəti/,大多数；多数,n.,B2
make,/meɪk/,制作；使；制造,n.,B2
map,/mæp/,地图；绘制地图,v.,B2
mass,/mæs/,大量；质量；群众,"n., adj.",B2
massive,/ˈmæsɪv/,巨大的；大量的,adj.,B2
master,/ˈmæstər/,主人；掌握；大师,"n., v.",B2
matching,/ˈmætʃɪŋ/,匹配的；相配的,adj.,B2
material,/məˈtɪriəl/,材料；物质；重要的,adj.,B2
maximum,/ˈmæksəməm/,最大值；最大的,"adj., n.",B2
means,/miːnz/,方法；手段；财富,n.,B2
measurement,/ˈmeʒərmənt/,测量；尺寸,n.,B2
melt,/melt/,融化,v.,B2
military,/ˈmɪləteri/,军事的；军队,"adj., n.",B2
mineral,/ˈmɪnərəl/,矿物；矿物质,n.,B2
minimum,/ˈmɪnəməm/,最低限度；最小值,"adj., n.",B2
minister,/ˈmɪnɪstər/,部长；牧师,n.,B2
minor,/ˈmaɪnər/,较小的；未成年人；辅修,adj.,B2
minority,/məˈnɔːrəti/,少数；少数群体,n.,B2
mission,/ˈmɪʃən/,任务；使命,n.,B2
mistake,/mɪˈsteɪk/,错误,v.,B2
mixed,/mɪkst/,混合的；复杂的,adj.,B2
model,/ˈmɑːdəl/,模型；模特；示范,v.,B2
modify,/ˈmɑːdəfaɪ/,修改；调整,v.,B2
monitor,/ˈmɑːnətər/,监视；监控器,"n., v.",B2
moral,/ˈmɔːrəl/,道德的；寓意,"adj., n.",B2
motor,/ˈmoʊtər/,发动机；马达,"n., adj.",B2
mount,/maʊnt/,登上；安装；山,v.,B2
multiple,/ˈmʌltəpəl/,多个的；倍数,adj.,B2
multiply,/ˈmʌltəplaɪ/,乘；增加,v.,B2
mysterious,/mɪˈstɪriəs/,神秘的,adj.,B2
narrow,/ˈnæroʊ/,狭窄的；缩小,v.,B2
national,/ˈnæʃənəl/,国家的；全国的,n.,B2
negative,/ˈneɡətɪv/,消极的；负面的；否定的,n.,B2
nerve,/nɜːrv/,神经；勇气,n.,B2
nevertheless,/ˌnevərðəˈles/,然而；不过,adv.,B2
nightmare,/ˈnaɪtmer/,噩梦；可怕的事情,n.,B2
notion,/ˈnoʊʃən/,概念；想法,n.,B2
numerous,/ˈnuːmərəs/,许多的,adj.,B2
obey,/oʊˈbeɪ/,服从,v.,B2
object,/ˈɑːbdʒekt/,物体；对象；反对,v.,B2
objective,/əbˈdʒektɪv/,目标；客观的,"n., adj.",B2
obligation,/ˌɑːbləˈɡeɪʃən/,义务；责任,n.,B2
observation,/ˌɑːbzərˈveɪʃən/,观察；观察结果,n.,B2
observe,/əbˈzɜːrv/,观察；遵守,v.,B2
obtain,/əbˈteɪn/,获得；取得,v.,B2
occasionally,/əˈkeɪʒənəli/,偶尔,adv.,B2
offend,/əˈfend/,冒犯；得罪,v.,B2
offense,/əˈfens/,冒犯；违法行为,n.,B2
offensive,/əˈfensɪv/,冒犯的；攻击性的,adj.,B2
opening,/ˈoʊpənɪŋ/,开口；开幕；开始,n.,B2
operate,/ˈɑːpəreɪt/,操作；经营；运转,v.,B2
opponent,/əˈpoʊnənt/,对手；反对者,n.,B2
oppose,/əˈpoʊz/,反对,v.,B2
opposed,/əˈpoʊzd/,反对的,adj.,B2
opposition,/ˌɑːpəˈzɪʃən/,反对；反对派,n.,B2
organ,/ˈɔːrɡən/,器官；机构,n.,B2
origin,/ˈɔːrədʒɪn/,起源；来源,n.,B2
otherwise,/ˈʌðərwaɪz/,否则；另外,adv.,B2
outcome,/ˈaʊtkʌm/,结果,n.,B2
outer,/ˈaʊtər/,外部的；外面的,adj.,B2
outline,/ˈaʊtlaɪn/,大纲；轮廓,"n., v.",B2
overall,/ˌoʊvərˈɔːl/,总体的；总体上,"adj., adv.",B2
owe,/oʊ/,欠；归功于,v.,B2
pace,/peɪs/,速度；步伐,"n., v.",B2
panel,/ˈpænəl/,面板；专家小组,n.,B2
participant,/pɑːrˈtɪsəpənt/,参与者,n.,B2
partly,/ˈpɑːrtli/,部分地,adv.,B2
passage,/ˈpæsɪdʒ/,通道；段落；经过,n.,B2
patient,/ˈpeɪʃənt/,耐心的；病人,adj.,B2
permanent,/ˈpɜːrmənənt/,永久的；长期的,adj.,B2
permit,/pərˈmɪt/,允许；许可证,"v., n.",B2
perspective,/pərˈspektɪv/,观点；视角,n.,B2
phase,/feɪz/,阶段；时期,n.,B2
phenomenon,/fəˈnɑːmənɑːn/,现象,n.,B2
philosophy,/fəˈlɑːsəfi/,哲学；人生观,n.,B2
pick,/pɪk/,挑选；捡；选择,n.,B2
picture,/ˈpɪktʃər/,图片；照片；想象,v.,B2
pile,/paɪl/,一堆；堆积,"n., v.",B2
pitch,/pɪtʃ/,音高；投掷；推销,n.,B2
plain,/pleɪn/,简单的；平原；清楚的,adj.,B2
pointed,/ˈpɔɪntɪd/,尖的；尖锐的,adj.,B2
popularity,/ˌpɑːpjəˈlerəti/,受欢迎程度,n.,B2
pose,/poʊz/,摆姿势；造成；姿势,v.,B2
position,/pəˈzɪʃən/,位置；职位；立场,v.,B2
positive,/ˈpɑːzətɪv/,积极的；正面的；肯定的,n.,B2
possess,/pəˈzes/,拥有,v.,B2
potential,/pəˈtenʃəl/,潜在的；潜力,"adj., n.",B2
power,/ˈpaʊər/,力量；权力；电力,v.,B2
praise,/preɪz/,赞扬；称赞,"n., v.",B2
pregnant,/ˈpreɡnənt/,怀孕的,adj.,B2
preparation,/ˌprepəˈreɪʃən/,准备；准备工作,n.,B2
presence,/ˈprezəns/,存在；出席,n.,B2
preserve,/prɪˈzɜːrv/,保护；保存,v.,B2
price,/praɪs/,价格,v.,B2
prime,/praɪm/,主要的；首要的；质数,adj.,B2
principle,/ˈprɪnsəpəl/,原则；原理,n.,B2
print,/prɪnt/,打印；印刷,n.,B2
priority,/praɪˈɔːrəti/,优先事项；优先权,n.,B2
privacy,/ˈpraɪvəsi/,隐私,n.,B2
procedure,/prəˈsiːdʒər/,程序；步骤,n.,B2
process,/ˈprɑːses/,过程；处理,v.,B2
produce,/prəˈduːs/,生产；产生；农产品,n.,B2
professional,/prəˈfeʃənəl/,专业的；专业人士,n.,B2
progress,/ˈprɑːɡres/,进步；进展,v.,B2
project,/ˈprɑːdʒekt/,项目；计划；预测,v.,B2
proof,/pruːf/,证据；证明,n.,B2
proposal,/prəˈpoʊzəl/,提议；建议,n.,B2
propose,/prəˈpoʊz/,提议；求婚,v.,B2
prospect,/ˈprɑːspekt/,前景；可能性,n.,B2
protection,/prəˈtekʃən/,保护,n.,B2
psychologist,/saɪˈkɑːlədʒɪst/,心理学家,n.,B2
psychology,/saɪˈkɑːlədʒi/,心理学,n.,B2
publication,/ˌpʌbləˈkeɪʃən/,出版；出版物,n.,B2
purchase,/ˈpɜːrtʃəs/,购买；购买物,"n., v.",B2
pure,/pjʊr/,纯的；纯洁的,adj.,B2
pursue,/pərˈsuː/,追求；继续进行,v.,B2
rank,/ræŋk/,等级；排名；排列,"n., v.",B2
rapid,/ˈræpɪd/,快速的,adj.,B2
rapidly,/ˈræpɪdli/,迅速地,adv.,B2
rate,/reɪt/,比率；速度；评价,v.,B2
raw,/rɔː/,生的；未经加工的,adj.,B2
reach,/riːtʃ/,到达；达到；伸手,n.,B2
realistic,/ˌriːəˈlɪstɪk/,现实的；实际的,adj.,B2
reasonable,/ˈriːzənəbəl/,合理的；明智的,adj.,B2
recall,/rɪˈkɔːl/,回忆；召回,v.,B2
recover,/rɪˈkʌvər/,恢复；康复；找回,v.,B2
reduction,/rɪˈdʌkʃən/,减少；降低,n.,B2
regard,/rɪˈɡɑːrd/,认为；尊重；关注,"v., n.",B2
regional,/ˈriːdʒənəl/,地区的；区域的,adj.,B2
register,/ˈredʒɪstər/,登记；注册,"v., n.",B2
regret,/rɪˈɡret/,后悔；遗憾,"v., n.",B2
regulation,/ˌreɡjəˈleɪʃən/,规定；监管,n.,B2
relatively,/ˈrelətɪvli/,相对地,adv.,B2
relevant,/ˈreləvənt/,相关的；有用的,adj.,B2
relief,/rɪˈliːf/,缓解；救济；宽慰,n.,B2
rely,/rɪˈlaɪ/,依靠；依赖,v.,B2
remark,/rɪˈmɑːrk/,评论；谈论,"n., v.",B2
representative,/ˌreprɪˈzentətɪv/,代表；有代表性的,"n., adj.",B2
reputation,/ˌrepjəˈteɪʃən/,声誉；名声,n.,B2
requirement,/rɪˈkwaɪərmənt/,要求；必要条件,n.,B2
rescue,/ˈreskjuː/,营救；救援,"v., n.",B2
reserve,/rɪˈzɜːrv/,保留；储备；预订,"n., v.",B2
resident,/ˈrezɪdənt/,居民；居住的,"n., adj.",B2
resist,/rɪˈzɪst/,抵抗；抵制,v.,B2
resolve,/rɪˈzɑːlv/,解决；决心,v.,B2
resort,/rɪˈzɔːrt/,度假胜地；求助,n.,B2
retain,/rɪˈteɪn/,保留；保持,v.,B2
reveal,/rɪˈviːl/,揭示；透露,v.,B2
revolution,/ˌrevəˈluːʃən/,革命；巨大变化,n.,B2
reward,/rɪˈwɔːrd/,奖励；回报,"n., v.",B2
rhythm,/ˈrɪðəm/,节奏；韵律,n.,B2
rid,/rɪd/,摆脱；去除,v.,B2
rise,/raɪz/,上升；上涨；起立,n.,B2
root,/ruːt/,根；根源,n.,B2
round,/raʊnd/,圆的；轮次；周围,n.,B2
routine,/ruːˈtiːn/,日常工作；惯例,adj.,B2
rub,/rʌb/,擦；摩擦,v.,B2
rubber,/ˈrʌbər/,橡胶；橡皮,"n., adj.",B2
rural,/ˈrʊrəl/,农村的,adj.,B2
rush,/rʌʃ/,冲；匆忙,"v., n.",B2
satellite,/ˈsætəlaɪt/,卫星,n.,B2
satisfied,/ˈsætɪsfaɪd/,满意的,adj.,B2
satisfy,/ˈsætɪsfaɪ/,使满意；满足,v.,B2
saving,/ˈseɪvɪŋ/,节省；储蓄,n.,B2
scale,/skeɪl/,规模；比例；刻度,n.,B2
schedule,/ˈskedʒuːl/,时间表；安排,v.,B2
scream,/skriːm/,尖叫,"v., n.",B2
screen,/skriːn/,屏幕；筛选,v.,B2
seat,/siːt/,座位；使就座,v.,B2
sector,/ˈsektər/,部门；领域,n.,B2
secure,/sɪˈkjʊr/,安全的；获得；保护,"v., adj.",B2
seek,/siːk/,寻找；寻求,v.,B2
select,/sɪˈlekt/,选择；挑选,v.,B2
selection,/sɪˈlekʃən/,选择；选集,n.,B2
self,/self/,自己；自我,n.,B2
senate,/ˈsenət/,参议院,n.,B2
senator,/ˈsenətər/,参议员,n.,B2
senior,/ˈsiːnjər/,高级的；年长者,adj.,B2
sense,/sens/,感觉；意义；意识,v.,B2
sensitive,/ˈsensətɪv/,敏感的；体贴的,adj.,B2
sentence,/ˈsentəns/,句子；判决,v.,B2
sequence,/ˈsiːkwəns/,顺序；序列,n.,B2
session,/ˈseʃən/,会议；一段时间,n.,B2
settle,/ˈsetəl/,解决；定居；安顿,v.,B2
severe,/səˈvɪr/,严重的；严厉的,adj.,B2
shade,/ʃeɪd/,阴影；遮荫,n.,B2
shadow,/ˈʃædoʊ/,影子；阴影,n.,B2
shall,/ʃæl/,将；应该,modal v.,B2
shallow,/ˈʃæloʊ/,浅的,adj.,B2
shame,/ʃeɪm/,羞耻；遗憾,n.,B2
shape,/ʃeɪp/,形状；塑造,v.,B2
shelter,/ˈʃeltər/,避难所；庇护,"n., v.",B2
ship,/ʃɪp/,船；运输,v.,B2
shock,/ʃɑːk/,震惊；冲击,"n., v.",B2
shocked,/ʃɑːkt/,震惊的,adj.,B2
shooting,/ˈʃuːtɪŋ/,射击；枪击；拍摄,n.,B2
shot,/ʃɑːt/,射击；一枪；镜头,n.,B2
significant,/sɪɡˈnɪfɪkənt/,重要的；显著的,adj.,B2
significantly,/sɪɡˈnɪfɪkəntli/,显著地；明显地,adv.,B2
silence,/ˈsaɪləns/,沉默；使安静,n.,B2
silk,/sɪlk/,丝绸,n.,B2
sincere,/sɪnˈsɪr/,真诚的,adj.,B2
slide,/slaɪd/,滑动；幻灯片,"v., n.",B2
slight,/slaɪt/,轻微的；略微的,adj.,B2
slip,/slɪp/,滑倒；滑动；失误,v.,B2
slope,/sloʊp/,斜坡；倾斜,"n., v.",B2
solar,/ˈsoʊlər/,太阳的；太阳能的,adj.,B2
somewhat,/ˈsʌmwʌt/,有点；稍微,adv.,B2
soul,/soʊl/,灵魂；心灵,n.,B2
specialist,/ˈspeʃəlɪst/,专家；专科医生,"n., adj.",B2
species,/ˈspiːʃiːz/,物种,n.,B2
speed,/spiːd/,速度；加速,v.,B2
spiritual,/ˈspɪrɪtʃuəl/,精神的；心灵的,adj.,B2
split,/splɪt/,分裂；分开,"v., n.",B2
sponsor,/ˈspɑːnsər/,赞助商；赞助,"v., n.",B2
stable,/ˈsteɪbəl/,稳定的；马厩,adj.,B2
stage,/steɪdʒ/,阶段；舞台,v.,B2
stand,/stænd/,站立；立场；摊位,n.,B2
stare,/ster/,盯着看,v.,B2
status,/ˈsteɪtəs/,地位；状态,n.,B2
steady,/ˈstedi/,稳定的；稳步的,adj.,B2
steel,/stiːl/,钢；钢铁,n.,B2
steep,/stiːp/,陡峭的；急剧的,adj.,B2
step,/step/,步骤；脚步,v.,B2
sticky,/ˈstɪki/,粘的；棘手的,adj.,B2
stiff,/stɪf/,僵硬的；不灵活的,adj.,B2
stock,/stɑːk/,股票；库存；储备,n.,B2
stream,/striːm/,溪流；流；流媒体,n.,B2
stretch,/stretʃ/,伸展；延伸,"v., n.",B2
strict,/strɪkt/,严格的,adj.,B2
strike,/straɪk/,打击；罢工；击中,"v., n.",B2
structure,/ˈstrʌktʃər/,结构；构造,v.,B2
struggle,/ˈstrʌɡəl/,挣扎；斗争,"v., n.",B2
subject,/ˈsʌbdʒekt/,主题；科目；使服从,adj.,B2
submit,/səbˈmɪt/,提交；服从,v.,B2
sum,/sʌm/,总和；总结,"n., v.",B2
surgery,/ˈsɜːrdʒəri/,外科手术；外科,n.,B2
surround,/səˈraʊnd/,包围；围绕,v.,B2
surrounding,/səˈraʊndɪŋ/,周围的；环境,adj.,B2
survey,/ˈsɜːrveɪ/,调查；测量,v.,B2
suspect,/səˈspekt/,怀疑；嫌疑犯,"v., n.",B2
swear,/swer/,发誓；咒骂,v.,B2
sweep,/swiːp/,打扫；席卷,v.,B2
sympathy,/ˈsɪmpəθi/,同情；同情心,n.,B2
tale,/teɪl/,故事,n.,B2
tank,/tæŋk/,坦克；水箱,n.,B2
target,/ˈtɑːrɡɪt/,目标,v.,B2
tear1,/ter/,眼泪,"v., n.",B2
tear2,/tɪr/,撕裂；撕破,n.,B2
temporary,/ˈtempəreri/,暂时的；临时的,adj.,B2
term,/tɜːrm/,术语；学期；期限,v.,B2
therapy,/ˈθerəpi/,治疗；疗法,n.,B2
threat,/θret/,威胁,n.,B2
threaten,/ˈθretən/,威胁；可能造成,v.,B2
thus,/ðʌs/,因此；从而,adv.,B2
time,/taɪm/,时间；次数,v.,B2
title,/ˈtaɪtəl/,标题；头衔,v.,B2
tone,/toʊn/,语气；音调,n.,B2
tough,/tʌf/,艰难的；坚强的,adj.,B2
track,/træk/,轨道；踪迹；跟踪,v.,B2
transfer,/trænsˈfɜːr/,转移；转让；转乘,"v., n.",B2
transform,/trænsˈfɔːrm/,改变；转换,v.,B2
transition,/trænˈzɪʃən/,过渡；转变,n.,B2
trial,/ˈtraɪəl/,试验；审判,n.,B2
trip,/trɪp/,旅行；绊倒,v.,B2
tropical,/ˈtrɑːpɪkəl/,热带的,adj.,B2
trouble,/ˈtrʌbəl/,麻烦；问题,v.,B2
truly,/ˈtruːli/,真正地；确实,adv.,B2
trust,/trʌst/,信任；相信,"n., v.",B2
try,/traɪ/,尝试；努力,n.,B2
tune,/tuːn/,曲调；调节,n.,B2
tunnel,/ˈtʌnəl/,隧道,n.,B2
ultimately,/ˈʌltəmətli/,最终；归根结底,adv.,B2
unconscious,/ʌnˈkɑːnʃəs/,无意识的；昏迷的,adj.,B2
unexpected,/ˌʌnɪkˈspektɪd/,意外的；出乎意料的,adj.,B2
unique,/juˈniːk/,独特的；唯一的,adj.,B2
universe,/ˈjuːnəvɜːrs/,宇宙,n.,B2
unknown,/ʌnˈnoʊn/,未知的；未知的人,adj.,B2
upper,/ˈʌpər/,上面的；上部,adj.,B2
upward,/ˈʌpwərd/,向上的；向上,adv.,B2
urban,/ˈɜːrbən/,城市的,adj.,B2
urge,/ɜːrdʒ/,敦促；强烈要求,v.,B2
van,/væn/,厢式货车；面包车,n.,B2
vary,/ˈveri/,变化；不同,v.,B2
vast,/væst/,巨大的；广阔的,adj.,B2
venue,/ˈvenjuː/,场地；举办地点,n.,B2
very,/ˈveri/,非常；很,adj.,B2
via,/ˈvaɪə/,通过；经由,prep.,B2
victory,/ˈvɪktəri/,胜利,n.,B2
violence,/ˈvaɪələns/,暴力,n.,B2
virtual,/ˈvɜːrtʃuəl/,虚拟的；事实上的,adj.,B2
vision,/ˈvɪʒən/,视力；愿景,n.,B2
visual,/ˈvɪʒuəl/,视觉的；图像,adj.,B2
vital,/ˈvaɪtəl/,至关重要的；生命的,adj.,B2
vitamin,/ˈvaɪtəmɪn/,维生素,n.,B2
volume,/ˈvɑːljuːm/,体积；音量；卷,n.,B2
wage,/weɪdʒ/,工资；薪资,n.,B2
way,/weɪ/,方式；道路,adv.,B2
weakness,/ˈwiːknəs/,弱点；虚弱,n.,B2
wealth,/welθ/,财富,n.,B2
wealthy,/ˈwelθi/,富有的,adj.,B2
whereas,/werˈæz/,然而；而,conj.,B2
wherever,/werˈevər/,无论哪里,conj.,B2
whisper,/ˈwɪspər/,低声说；耳语,"v., n.",B2
whom,/huːm/,谁（宾格）,pron.,B2
widely,/ˈwaɪdli/,广泛地,adv.,B2
wildlife,/ˈwaɪldlaɪf/,野生动物,n.,B2
willing,/ˈwɪlɪŋ/,愿意的,adj.,B2
wind2,/waɪnd/,缠绕；绕住,v.,B2
wire,/waɪər/,电线；金属丝,n.,B2
wise,/waɪz/,明智的；聪明的,adj.,B2
witness,/ˈwɪtnəs/,目击者；见证,"n., v.",B2
wound,/wuːnd/,伤口；使受伤,"n., v.",B2
wrap,/ræp/,包裹；包装,v.,B2
yet,/jet/,还；尚且；然而,conj.,B2
zone,/zoʊn/,区域；地带,n.,B2
wow,/waʊ/,哇；惊叹,exclam.,A1
yours,/jʊrz/,你的；你们的,pron.,A1
zero,/ˈzɪroʊ/,零,number,A1
thought,/θɔːt/,想法；思考；think的过去式,n.,A1
throw,/θroʊ/,扔；投掷,v.,A1
tie,/taɪ/,领带；系；打成平局,"v., n.",A1
tool,/tuːl/,工具,n.,A1
top,/tɑːp/,顶部；顶端；最好的,"n., adj.",A1
tourism,/ˈtʊrɪzəm/,旅游业,n.,A1
toward,/təˈwɔrd/,向；朝着,prep.,A1
towel,/ˈtaʊəl/,毛巾,n.,A1
tower,/ˈtaʊər/,塔；高楼,n.,A1
toy,/tɔɪ/,玩具,"n., adj.",A1
tradition,/trəˈdɪʃən/,传统,n.,A1
traditional,/trəˈdɪʃənəl/,传统的,adj.,A1
train,/treɪn/,火车；训练,v.,A1
training,/ˈtreɪnɪŋ/,训练；培训,n.,A1
transportation,/ˌtrænspərˈteɪʃən/,交通；运输,n.,A1
trash,/træʃ/,垃圾,n.,A1
traveler,/ˈtrævələr/,旅行者,n.,A1
twin,/twɪn/,双胞胎之一；双胞胎的,"n., adj.",A1
typical,/ˈtɪpɪkəl/,典型的,adj.,A1
underground,/ˈʌndərɡraʊnd/,地下的；地铁,"adj., adv.",A1
understanding,/ˌʌndərˈstændɪŋ/,理解；理解力,n.,A1
unfortunately,/ʌnˈfɔrtʃənətli/,不幸地；遗憾地,adv.,A1
unhappy,/ʌnˈhæpi/,不开心的；不快乐的,adj.,A1
uniform,/ˈjuːnəfɔrm/,制服；统一的,n.,A1
unit,/ˈjuːnɪt/,单位；单元,n.,A1
united,/juˈnaɪtɪd/,联合的；团结的,adj.,A1
unusual,/ʌnˈjuːʒuəl/,不寻常的,adj.,A1
upstairs,/ʌpˈsterz/,楼上；在楼上,adj.,A1
use,/juːz/,使用；用途,n.,A1
used,/juːzd/,使用过的；习惯于,to modal v.,A1
user,/ˈjuːzər/,用户,n.,A1
usual,/ˈjuːʒuəl/,通常的；平常的,adj.,A1
valley,/ˈvæli/,山谷,n.,A1
variety,/vəˈraɪəti/,种类；多样性,n.,A1
vehicle,/ˈviːəkəl/,车辆,n.,A1
village,/ˈvɪlɪdʒ/,村庄,n.,A1
virus,/ˈvaɪrəs/,病毒,n.,A1
voice,/vɔɪs/,声音；嗓音,n.,A1
wait,/weɪt/,等待,n.,A1
war,/wɔr/,战争,n.,A1
wash,/wɑːʃ/,洗；清洗,n.,A1
washing,/ˈwɑːʃɪŋ/,洗涤；洗衣,n.,A1
weak,/wiːk/,虚弱的；弱的,adj.,A1
web,/web/,网络；网页,n.,A1
wedding,/ˈwedɪŋ/,婚礼,n.,A1
weight,/weɪt/,重量；体重,n.,A1
welcome,/ˈwelkəm/,欢迎；受欢迎的,n.,A1
wet,/wet/,湿的,adj.,A1
wheel,/wiːl/,轮子,n.,A1
whose,/huːz/,谁的,det./pron.,A1
wide,/waɪd/,宽的；广泛的,adj.,A1
wild,/waɪld/,野生的；狂野的,adj.,A1
wind1,/waɪnd/,风,n.,A1
